CreationTime          LastWriteTime         FullName
------------          -------------         --------
3/1/2026 1:11:44 AM   3/1/2026 8:43:03 PM   C:\MGU\desk\2-priority\real estate glossary words 3-1-2026.txt
3/1/2026 1:05:08 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\gross-operat...
3/1/2026 1:07:59 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\economic-occ...
3/1/2026 1:08:53 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\physical-occ...
3/1/2026 1:12:13 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\adjusted-noi...
3/1/2026 1:13:24 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\pro-forma.html
3/1/2026 1:14:59 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\stabilized-n...
3/1/2026 1:16:18 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\underwritten...
3/1/2026 1:19:09 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\market-cap-r...
3/1/2026 1:22:22 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\going-in-cap...
3/1/2026 1:24:02 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\reversion-ca...
3/1/2026 1:25:51 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\exit-value.html
3/1/2026 1:27:07 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\implied-cap-...
3/1/2026 1:28:25 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\value.html
3/1/2026 1:30:53 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\effective-ta...
3/1/2026 1:31:50 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\passive-acti...
3/1/2026 1:34:49 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\k-1.html
3/1/2026 1:36:16 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\tax-basis.html
3/1/2026 1:37:30 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\after-tax-ca...
3/1/2026 1:38:17 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\pre-tax-cash...
3/1/2026 1:40:01 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\at-risk-rule...
3/1/2026 1:44:47 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\operating-ma...
3/1/2026 2:13:12 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\cash-flow-be...
3/1/2026 2:15:04 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\cash-flow-af...
3/1/2026 2:16:44 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\debt-constan...
3/1/2026 2:20:07 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\mortgage-con...
3/1/2026 2:22:27 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\mortgage.html
3/1/2026 2:24:07 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\capital-acco...
3/1/2026 2:26:19 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\preferred-eq...
3/1/2026 2:27:34 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\common-stock...
3/1/2026 2:28:01 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\dividend.html
3/1/2026 2:28:46 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\reit.html
3/1/2026 2:30:46 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\preferred-st...
3/1/2026 2:35:55 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\convertible-...
3/1/2026 2:41:43 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\participatio...
3/1/2026 3:32:54 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\securitizati...
3/1/2026 3:40:54 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\credit-tenan...
3/1/2026 3:42:18 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\b-note.html
3/1/2026 3:43:37 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\a-note.html
3/1/2026 3:44:50 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\collateral.html
3/1/2026 3:48:53 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\cross-defaul...
3/1/2026 3:49:22 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\cross-collat...
3/1/2026 3:51:05 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\deficiency-j...
3/1/2026 3:56:55 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\special-serv...
3/1/2026 3:59:33 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\hard-money-l...
3/1/2026 4:00:29 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\snda.html
3/1/2026 4:01:45 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\attornment.html
3/1/2026 4:03:49 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\non-disturba...
3/1/2026 4:11:21 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\estoppel-cer...
3/1/2026 4:13:01 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\negative-lev...
3/1/2026 4:14:38 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\positive-lev...
3/1/2026 4:15:34 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\cap-rate-com...
3/1/2026 4:24:05 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\certificate-...
3/1/2026 4:28:23 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\right-of-fir...
3/1/2026 4:28:45 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\certificate-...
3/1/2026 4:29:26 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\right-of-fir...
3/1/2026 4:30:26 PM   5/15/2026 1:16:32 PM  C:\MGU\department\professional-studies\real-estate\glossary\buy-sell-agr...
3/1/2026 4:36:18 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\floor-area-r...
3/1/2026 4:36:58 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\punch-list.html
3/1/2026 4:37:17 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\retainage.html
3/1/2026 4:39:33 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\substantial-...
3/1/2026 4:40:06 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\construction...
3/1/2026 4:42:23 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\value-engine...
3/1/2026 4:44:21 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\tenancy-in-c...
3/1/2026 4:46:12 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\percentage-r...
3/1/2026 4:47:47 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\co-tenancy.html
3/1/2026 4:50:10 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\expense-stop...
3/1/2026 4:51:17 PM   5/15/2026 1:16:34 PM  C:\MGU\department\professional-studies\real-estate\glossary\retail-lease...
3/1/2026 4:51:48 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\common-area-...
3/1/2026 4:52:27 PM   5/15/2026 1:16:33 PM  C:\MGU\department\professional-studies\real-estate\glossary\full-service...
